ArraySize,Series,Attempt,Time,Passes,Swaps
2000,1,4,0.011479,982,981737
2000,1,5,0.012774,996,997984
2000,1,6,0.011983,1032,1003057
2000,1,7,0.011569,1010,991428
2000,1,8,0.01284,1014,1010224
2000,1,9,0.011894,1008,997527
2000,1,10,0.011522,994,994802
2000,1,11,0.011356,976,980118
2000,1,12,0.011931,1026,997157
2000,1,13,0.011604,1010,1002261
2000,1,14,0.011886,996,1003106
2000,1,15,0.011788,1020,1005160
2000,1,16,0.011711,1012,991378
2000,1,17,0.011879,1034,1018402
2000,1,18,0.012033,1052,1016689
2000,1,19,0.01178,1024,1011572
2000,1,20,0.012623,1034,1002510
2000,2,1,0.012033,1020,1016823
2000,2,2,0.012567,998,1000057
2000,2,3,0.01188,1016,1013539
2000,2,4,0.013226,996,1005928
2000,2,5,0.012175,1004,1003323
2000,2,6,0.01221,1014,1010267
2000,2,7,0.011653,1000,996648
2000,2,8,0.011449,1004,987080
2000,2,9,0.011675,1028,1000097
2000,2,10,0.012867,998,987612
2000,2,11,0.011771,1020,1014392
2000,2,12,0.012202,1040,1003469
2000,2,13,0.012113,1004,1007420
2000,2,14,0.011867,994,992125
2000,2,15,0.012554,1038,1022295
2000,2,16,0.011771,1010,978343
2000,2,17,0.012125,1016,1007422
2000,2,18,0.012045,988,988382
2000,2,19,0.011581,1010,996706
2000,2,20,0.011811,1000,983822
2000,3,1,0.011485,984,982170
2000,3,2,0.011659,1028,994493
2000,3,3,0.012478,1014,995970
2000,3,4,0.011593,986,1003837
2000,3,5,0.011651,974,969597
2000,3,6,0.012463,1036,993735
2000,3,7,0.01198,996,997745
2000,3,8,0.011552,1016,989520
2000,3,9,0.01167,1006,986076
2000,3,10,0.011765,1026,1006503
2000,3,11,0.017999,968,991899
2000,3,12,0.012033,1020,987862
2000,3,13,0.013168,1052,1025296
2000,3,14,0.012438,1016,1012040
2000,3,15,0.012054,1000,999345
2000,3,16,0.011777,1036,998993
2000,3,17,0.011742,1038,1012843
2000,3,18,0.011814,1002,1000397
2000,3,19,0.011779,1004,1010935
2000,3,20,0.011965,978,965286
2000,4,1,0.011534,980,978273
2000,4,2,0.013361,1050,1025878
2000,4,3,0.01218,1004,987922
2000,4,4,0.011867,972,985841
2000,4,5,0.011875,1028,1021592
2000,4,6,0.012647,1028,1001416
2000,4,7,0.011692,1000,987265
2000,4,8,0.011834,1032,1005265
2000,4,9,0.011706,1024,994935
2000,4,10,0.011664,1012,992831
2000,4,11,0.01217,1012,1001786
2000,4,12,0.01272,1010,999258
2000,4,13,0.01231,1036,1018990
2000,4,14,0.011558,1000,995634
2000,4,15,0.01148,994,985542
2000,4,16,0.011914,1022,1024804
2000,4,17,0.011943,1028,1004334
2000,4,18,0.01187,1034,1024803
2000,4,19,0.011851,1028,1007336
2000,4,20,0.012478,1034,1014541
2000,5,1,0.012358,1040,1006669
2000,5,2,0.012151,1010,1000346
2000,5,3,0.011643,1002,994829
2000,5,4,0.012001,1030,1017316
2000,5,5,0.01176,1024,1015458
2000,5,6,0.011793,1024,1008175
2000,5,7,0.011802,996,989887
2000,5,8,0.011466,984,985526
2000,5,9,0.01276,1024,1001600
2000,5,10,0.011582,1002,993094
2000,5,11,0.011549,986,1003257
2000,5,12,0.012277,1018,1013625
2000,5,13,0.011839,1002,991302
2000,5,14,0.011926,1006,1007360
2000,5,15,0.01159,972,994493
2000,5,16,0.011734,1018,989632
2000,5,17,0.012338,1004,996413
2000,5,18,0.011763,1020,991233
2000,5,19,0.011654,1000,1002416
2000,5,20,0.01183,1014,988014
2000,6,1,0.011594,976,972165
2000,6,2,0.0128,1024,1015862
2000,6,3,0.011794,1010,1008551
2000,6,4,0.011944,1018,977335
2000,6,5,0.011392,974,967666
2000,6,6,0.011465,998,999070
2000,6,7,0.012549,980,980248
2000,6,8,0.012364,1042,1026218
2000,6,9,0.011599,1018,992773
2000,6,10,0.011848,990,989794
2000,6,11,0.012403,976,984299
2000,6,12,0.011846,1014,999518
2000,6,13,0.011685,1014,1012206
2000,6,14,0.011471,994,991023
2000,6,15,0.012078,1020,1007191
2000,6,16,0.011781,1020,988000
2000,6,17,0.01247,1000,977868
2000,6,18,0.01235,974,965958
2000,6,19,0.012052,1018,1002340
2000,6,20,0.011824,1016,1009724
2000,7,1,0.011884,1004,1000192
2000,7,2,0.012186,1004,1004932
2000,7,3,0.012741,1038,1014588
2000,7,4,0.011914,1006,999785
2000,7,5,0.012751,1024,1002034
2000,7,6,0.011478,988,992654
2000,7,7,0.011775,996,1010090
2000,7,8,0.012243,970,972566
2000,7,9,0.012114,1050,1019305
2000,7,10,0.013487,1028,1013515
2000,7,11,0.011792,996,984026
2000,7,12,0.011246,958,966490
2000,7,13,0.011327,986,968402
2000,7,14,0.011936,1022,1008258
2000,7,15,0.011886,1038,1012466
2000,7,16,0.012538,1040,1023967
2000,7,17,0.012144,1034,1022130
2000,7,18,0.012083,1040,1037278
2000,7,19,0.012906,1012,988218
2000,7,20,0.013827,1028,1021043
2000,8,1,0.012882,1010,994064
2000,8,2,0.011616,996,994814
2000,8,3,0.012038,1002,987226
2000,8,4,0.011871,1000,1002193
2000,8,5,0.011604,988,985245
2000,8,6,0.011854,1014,1012836
2000,8,7,0.011865,1044,1018999
2000,8,8,0.012712,1058,1034635
2000,8,9,0.011708,974,978709
2000,8,10,0.011907,1008,995770
2000,8,11,0.011499,1010,992335
2000,8,12,0.012215,998,1005142
2000,8,13,0.012023,976,990029
2000,8,14,0.012201,994,990418
2000,8,15,0.011488,1002,993912
2000,8,16,0.011993,966,971159
2000,8,17,0.011693,990,1003425
2000,8,18,0.013177,1020,1013901
2000,8,19,0.012517,990,979032
2000,8,20,0.012457,994,988595
4000,1,1,0.046481,2058,4053793
4000,1,2,0.04604,2036,4028400
4000,1,3,0.053961,2056,4000494
4000,1,4,0.04764,2028,4023055
4000,1,5,0.046531,1988,3975085
